Time_Seconds,TS_Arduino_ms,IR_Raw,Piezo_Raw,Event_Marker
0.016,0,75959,7,0
0.056,10,76046,9,0
0.11,20,76155,8,0
0.164,30,76207,9,0
0.218,40,76251,7,0
0.274,50,76258,8,0
0.327,60,75952,7,0
0.389,70,75636,9,0
0.444,80,75625,12,0
0.497,90,75640,8,0
0.552,100,75683,8,0
0.606,110,75597,8,0
0.66,120,75573,7,0
0.714,130,75606,8,0
0.769,140,75695,8,0
0.824,150,75732,10,0
0.878,160,75791,7,0
0.932,170,75870,8,0
0.987,180,75905,8,0
1.041,190,75654,9,0
1.095,200,75125,8,0
1.149,210,75029,7,0
1.203,220,75012,7,0
1.257,230,75182,7,0
1.321,240,75216,7,0
1.375,250,75228,8,0
1.429,260,75326,7,0
1.483,270,75435,8,0
1.537,280,75505,8,0
1.592,290,75573,6,0
1.646,300,75578,7,0
1.701,310,75597,7,0
1.755,320,75288,6,0
1.809,330,74888,7,0
1.864,340,74904,53,0
1.919,350,75028,362,0
1.973,360,75218,453,0
2.027,370,75197,747,0
2.082,380,75194,751,0
2.136,390,75310,753,0
2.19,400,75390,754,0
2.252,410,75496,194,0
2.306,420,75591,8,0
2.362,430,75651,9,0
2.416,440,75485,7,0
2.471,450,75059,6,0
2.525,460,74928,7,0
2.58,470,74997,327,0
2.635,480,75153,748,0
2.692,490,75206,749,0
2.748,500,75198,750,0
2.805,510,75286,752,0
2.861,520,75418,7,0
2.918,530,75482,7,0
2.975,540,75595,10,0
3.03,550,75688,5,0
3.087,560,75827,372,0
3.152,570,75619,753,0
3.21,580,75260,751,0
3.268,590,75237,269,0
3.326,600,75314,8,0
3.385,610,75462,8,0
3.443,620,75489,7,0
3.501,630,75568,8,0
3.558,640,75719,9,0
3.616,650,75825,749,0
3.675,660,75931,751,0
3.732,670,76023,8,0
3.791,680,76106,8,0
3.848,690,76113,7,0
3.906,700,75746,7,0
3.972,710,75614,8,0
4.029,720,75640,8,0
4.087,730,75755,8,0
4.145,740,75768,753,0
4.204,750,75780,193,0
4.262,760,75829,6,0
4.32,770,75914,6,0
4.376,780,75990,10,0
4.436,790,76055,10,0
4.494,800,76126,8,0
4.552,810,76204,565,0
4.61,820,76070,750,0
4.668,830,75757,409,0
4.725,840,75723,6,0
4.79,850,75749,9,0
4.848,860,75853,8,0
4.906,870,75829,9,0
4.963,880,75860,7,0
5.021,890,75946,746,0
5.079,900,76027,751,0
5.137,910,76084,7,0
5.195,920,76175,9,0
5.253,930,76229,7,0
5.311,940,76298,10,0
5.368,950,76129,7,0
5.425,960,75806,8,0
5.485,970,75784,753,0
5.543,980,75811,749,0
5.608,990,75904,7,0
5.666,1000,75866,8,0
5.724,1010,75908,7,0
5.781,1020,75979,10,0
5.839,1030,76071,7,0
5.897,1040,76140,7,0
5.954,1050,76196,720,0
6.013,1060,76260,753,0
6.071,1070,76242,9,0
6.128,1080,75869,8,0
6.186,1090,75745,6,0
6.244,1100,75763,8,0
6.302,1110,75880,7,0
6.36,1120,75911,7,0
6.425,1130,75899,538,0
6.487,1140,75968,751,0
6.546,1150,76050,9,0
6.605,1160,76128,9,0
6.664,1170,76190,8,0
6.723,1180,76229,9,0
6.782,1190,76302,7,0
6.841,1200,76162,8,0
6.9,1210,75757,382,0
6.959,1220,75676,747,0
7.019,1230,75688,753,0
7.078,1240,75799,8,0
7.137,1250,75766,7,0
7.204,1260,75774,8,0
7.263,1270,75856,10,0
7.323,1280,75932,8,0
7.381,1290,75991,7,0
7.44,1300,76043,751,0
7.501,1310,76109,378,0
7.56,1320,76058,7,0
7.619,1330,75702,7,0
7.679,1340,75535,8,0
7.738,1350,75540,6,0
7.797,1360,75637,7,0
7.856,1370,75653,752,0
7.916,1380,75657,747,0
7.982,1390,75746,379,0
8.04,1400,75858,8,0
8.098,1410,75926,8,0
8.156,1420,75966,9,0
8.213,1430,76025,9,0
8.271,1440,76064,8,0
8.329,1450,75672,8,0
8.387,1460,75475,634,0
8.444,1470,75497,749,0
8.504,1480,75567,9,0
8.562,1490,75625,8,0
8.619,1500,75624,8,0
8.677,1510,75718,9,0
8.734,1520,75769,9,0
8.802,1530,75823,9,0
8.861,1540,75843,8,0
8.92,1550,75947,9,0
8.978,1560,76056,8,0
9.037,1570,75724,7,0
9.097,1580,75393,10,0
9.156,1590,75333,7,0
9.214,1600,75380,7,0
9.274,1610,75467,7,0
9.332,1620,75427,8,0
9.391,1630,75459,12,0
9.449,1640,75568,9,0
9.51,1650,75665,9,0
9.578,1660,75771,9,0
9.637,1670,75859,10,0
9.696,1680,75937,8,0
9.754,1690,75760,8,0
9.814,1700,75466,10,0
9.873,1710,75446,7,0
9.932,1720,75491,6,0
9.991,1730,75606,8,0
10.05,1740,75612,9,0
10.109,1750,75724,7,0
10.168,1760,75804,6,0
10.227,1770,75893,6,0
10.286,1780,75981,7,0
10.353,1790,76045,9,0
10.413,1800,76160,9,0
10.471,1810,76072,9,0
10.531,1820,75807,6,0
10.59,1830,75773,5,0
10.649,1840,75826,8,0
10.708,1850,75938,9,0
10.767,1860,75980,9,0
10.826,1870,76027,8,0
10.885,1880,76145,8,0
10.944,1890,76248,8,0
11.003,1900,76316,8,0
11.062,1910,76355,8,0
11.127,1920,76401,9,0
11.185,1930,76351,7,0
11.242,1940,75967,9,0
11.302,1950,75872,10,0
11.361,1960,75886,8,0
11.419,1970,75977,8,0
11.477,1980,75991,7,0
11.538,1990,76009,7,0
11.597,2000,76105,9,0
11.656,2010,76160,8,0
11.715,2020,76235,9,0
11.773,2030,76287,8,0
11.832,2040,76354,8,0
11.9,2050,76227,9,0
11.96,2060,75843,7,0
12.02,2070,75817,5,0
12.08,2080,75846,10,0
12.141,2090,75956,7,0
12.201,2100,75912,10,0
12.261,2110,75952,8,0
12.321,2120,76026,7,0
12.381,2130,76097,8,0
12.441,2140,76170,7,0
12.5,2150,76214,7,0
12.563,2160,76235,7,0
12.631,2170,75901,8,0
12.691,2180,75703,9,0
12.752,2190,75720,8,0
12.812,2200,75834,8,0
12.872,2210,75821,8,0
12.932,2220,75842,7,0
12.992,2230,75922,6,0
13.052,2240,76018,10,0
13.112,2250,76112,8,0
13.172,2260,76184,7,0
13.232,2270,76250,7,0
13.293,2280,76037,9,0
13.353,2290,75721,9,0
13.422,2300,75707,6,0
13.479,2310,75765,7,0
13.535,2320,75841,8,0
13.594,2330,75808,10,0
13.65,2340,75856,8,0
13.707,2350,75952,9,0
13.763,2360,76016,7,0
13.819,2370,76085,8,0
13.876,2380,76143,9,0
13.932,2390,76196,8,0
13.988,2400,76043,7,0
14.045,2410,75711,9,0
14.102,2420,75632,7,0
14.159,2430,75653,9,0
14.224,2440,75756,9,0
14.282,2450,75752,6,0
14.339,2460,75745,9,0
14.396,2470,75844,8,0
14.453,2480,75932,8,0
14.509,2490,75995,8,0
14.565,2500,76079,7,0
14.623,2510,76133,6,0
14.68,2520,76212,9,0
14.737,2530,75955,7,0
14.794,2540,75690,6,0
14.85,2550,75671,7,0
14.907,2560,75692,7,0
14.963,2570,75757,6,0
15.02,2580,75679,9,0
15.085,2590,75660,8,0
15.143,2600,75708,6,0
15.2,2610,75754,7,0
15.257,2620,75826,6,0
15.314,2630,75848,7,0
15.37,2640,75895,7,0
15.426,2650,75933,9,0
15.483,2660,75632,9,0
15.54,2670,75379,7,0
15.595,2680,75375,8,0
15.654,2690,75504,9,0
15.71,2700,75555,7,0
15.767,2710,75508,8,0
15.823,2720,75542,9,0
15.881,2730,75619,9,0
15.946,2740,75795,7,0
16.003,2750,75926,6,0
16.06,2760,75968,9,0
16.117,2770,75986,7,0
16.175,2780,75637,8,0
16.23,2790,75409,8,0
16.288,2800,75416,8,0
16.344,2810,75495,7,0
16.401,2820,75557,7,0
16.457,2830,75534,8,0
16.513,2840,75555,7,0
16.57,2850,75656,7,0
16.625,2860,75770,9,0
16.684,2870,75858,8,0
16.749,2880,75928,8,1
16.807,2890,76010,8,0
16.863,2900,75860,7,0
16.921,2910,75434,8,0
16.977,2920,75372,7,0
17.034,2930,75417,7,0
17.091,2940,75572,6,0
17.147,2950,75577,8,0
17.204,2960,75603,8,0
17.26,2970,75694,8,0
17.316,2980,75824,6,0
17.373,2990,75923,7,0
17.429,3000,76005,10,0
17.486,3010,76083,9,0
17.543,3020,76159,7,0
17.607,3030,75806,8,0
17.662,3040,75534,8,0
17.72,3050,75596,8,0
17.776,3060,75712,8,0
17.831,3070,75770,8,0
17.887,3080,75725,7,0
