Time_Seconds,HeartRate_BPM,SpO2_%,RespRate_RPM,Temperature_C,Event_Marker
0.016,80,99,0,0,
0.056,80,99,0,0,
0.11,80,99,0,0,
0.164,80,99,0,0,
0.218,80,99,0,0,
0.274,80,99,0,0,
0.327,80,99,0,0,
0.389,80,99,0,0,
0.444,80,99,0,0,
0.497,80,99,0,0,
0.552,80,99,0,0,
0.606,80,99,0,0,
0.66,80,99,0,0,
0.714,80,99,0,0,
0.769,80,99,0,0,
0.824,80,99,0,0,
0.878,80,99,0,0,
0.932,80,99,0,0,
0.987,80,99,0,0,
1.041,80,99,0,0,
1.095,80,99,0,0,
1.149,80,99,0,0,
1.203,80,99,0,0,
1.257,80,99,0,0,
1.321,80,99,0,0,
1.375,80,99,0,0,
1.429,80,99,0,0,
1.483,80,99,0,0,
1.537,80,99,0,0,
1.592,80,99,0,0,
1.646,80,99,0,0,
1.701,80,99,0,0,
1.755,80,99,0,0,
1.809,80,99,0,0,
1.864,80,99,0,0,
1.919,80,99,0,0,
1.973,80,99,0,0,
2.027,80,99,0,0,
2.082,80,99,0,0,
2.136,80,99,0,0,
2.19,80,99,0,0,
2.252,80,99,0,0,
2.306,80,99,0,0,
2.362,80,99,0,0,
2.416,80,99,0,0,
2.471,80,99,0,0,
2.525,80,99,0,0,
2.58,80,99,0,0,
2.635,80,99,96,0,
2.692,80,99,96,0,
2.748,80,99,96,0,
2.805,80,99,96,0,
2.861,80,99,96,0,
2.918,80,99,96,0,
2.975,80,99,96,0,
3.03,80,99,96,0,
3.087,80,99,96,0,
3.152,80,99,107,0,
3.21,83,99,107,0,
3.268,83,99,107,0,
3.326,83,99,107,0,
3.385,83,99,107,0,
3.443,83,99,107,0,
3.501,83,99,107,0,
3.558,83,99,107,0,
3.616,83,99,111,0,
3.675,83,99,111,0,
3.732,83,99,111,0,
3.791,83,99,111,0,
3.848,83,99,111,0,
3.906,83,99,111,0,
3.972,83,99,111,0,
4.029,83,99,111,0,
4.087,83,99,111,0,
4.145,83,99,112,0,
4.204,83,99,112,0,
4.262,83,99,112,0,
4.32,83,99,112,0,
4.376,83,99,112,0,
4.436,83,99,112,0,
4.494,83,99,112,0,
4.552,83,99,123,0,
4.61,83,99,123,0,
4.668,83,99,123,0,
4.725,83,99,123,0,
4.79,83,99,123,0,
4.848,83,99,123,0,
4.906,83,99,123,0,
4.963,83,99,123,0,
5.021,83,99,127,0,
5.079,83,99,127,0,
5.137,83,99,127,0,
5.195,83,99,127,0,
5.253,83,99,127,0,
5.311,83,99,127,0,
5.368,83,99,127,0,
5.425,83,99,127,0,
5.485,83,99,129,0,
5.543,83,99,129,0,
5.608,83,99,129,0,
5.666,83,99,129,0,
5.724,83,99,129,0,
5.781,83,99,129,0,
5.839,83,99,129,0,
5.897,83,99,129,0,
5.954,83,99,131,0,
6.013,83,99,131,0,
6.071,85,99,131,0,
6.128,85,99,131,0,
6.186,85,99,131,0,
6.244,85,99,131,0,
6.302,85,99,131,0,
6.36,85,99,131,0,
6.425,85,100,128,0,
6.487,85,100,128,0,
6.546,85,100,128,0,
6.605,85,100,128,0,
6.664,85,100,128,0,
6.723,85,100,128,0,
6.782,85,100,128,0,
6.841,83,100,128,0,
6.9,83,100,128,0,
6.959,83,100,125,0,
7.019,83,100,125,0,
7.078,83,100,125,0,
7.137,83,100,125,0,
7.204,83,100,125,0,
7.263,83,100,125,0,
7.323,83,100,125,0,
7.381,83,100,125,0,
7.44,83,100,121,0,
7.501,83,100,121,0,
7.56,83,100,121,0,
7.619,83,100,121,0,
7.679,80,100,121,0,
7.738,80,100,121,0,
7.797,80,100,121,0,
7.856,80,100,126,0,
7.916,80,100,126,0,
7.982,80,99,126,0,
8.04,80,99,126,0,
8.098,80,99,126,0,
8.156,80,99,126,0,
8.213,80,99,126,0,
8.271,80,99,126,0,
8.329,80,99,126,0,
8.387,80,99,122,0,
8.444,80,99,122,0,
8.504,80,99,122,0,
8.562,80,99,122,0,
8.619,80,99,122,0,
8.677,80,99,122,0,
8.734,80,99,122,0,
8.802,80,100,122,0,
8.861,80,100,122,0,
8.92,80,100,122,0,
8.978,80,100,122,0,
9.037,80,100,122,0,
9.097,83,100,122,0,
9.156,83,100,122,0,
9.214,83,100,122,0,
9.274,83,100,122,0,
9.332,83,100,122,0,
9.391,83,100,122,0,
9.449,83,100,122,0,
9.51,83,100,122,0,
9.578,83,100,122,0,
9.637,83,100,122,0,
9.696,83,100,122,0,
9.754,83,100,122,0,
9.814,79,100,122,0,
9.873,79,100,122,0,
9.932,79,100,122,0,
9.991,79,100,122,0,
10.05,79,100,122,0,
10.109,79,100,122,0,
10.168,79,100,122,0,
10.227,79,100,122,0,
10.286,79,100,122,0,
10.353,79,100,122,0,
10.413,84,100,122,0,
10.471,84,100,122,0,
10.531,84,100,122,0,
10.59,84,100,122,0,
10.649,84,100,122,0,
10.708,84,100,122,0,
10.767,84,100,122,0,
10.826,84,100,122,0,
